1HAE,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal fibroblast sample,,unknown
AALE,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal epithelium sample,,unknown
AG06263_2,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
AG06840_A,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
AG078N1_1,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
C42,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
CD34,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal stem cell sample,,unknown
HAP1,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,chronic myeloid leukemia (cml),,unknown
HEK293T,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
HIMG001,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
HIMG002,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
HME,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal epithelium sample,,unknown
HMELZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
HPTEC,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal epithelium sample,,unknown
HS27A,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
HUES3,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal stem cell sample,,unknown
HUH751,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,hepatoma,,unknown
HUVEC,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal umbilical vein sample,,unknown
IPS-15-2,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
IPS-3,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
IPS-ND34732,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
LHSAR,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal prostate sample,,unknown
MCH58,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF0067SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF015CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF022CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF027CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF033SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF035SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF037SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF040SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF051CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF054CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF056CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF076SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF100SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF117SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF123SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF126CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF130CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF135CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF137CN,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF141SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MCLF162SZ,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MICROGLIA-PSEN1,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
MNEU,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
NAMEC8,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal stem cell sample,,unknown
ND34732_7,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
NKDBA,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
P1A82,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
P2X2B2,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,medullary cystic kidney disease (MCKD) type 1,,unknown
SKB,,,,,tumor,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
WA09,,,,,normal,Unknown,Unknown,Unknown,unknown,unknown,normal stem cell sample,,unknown
XC.500,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.L10,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.L100,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.P026,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.P031,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.P033,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.P091,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
XC.P092,,,,,pool,Unknown,Unknown,Unknown,unknown,unknown,unknown,,unknown
